type,description,adiabatic index,density kg/m^3,force J/kg,covolume m^3/kg,pressure exponent,burnrate coefficient m/s/Pa^n,isochoric adb flame temp K
Pyroxylin,"Pyroxylin (nitrocellulose) propellant with values typically used to model multiple-perforated grains",1.2,1600,950000,1.0e-3,0.8,2.8528e-8,""
Pyroxylin (Low Nitration), "Pyroxylin (nitrocellulose) propellant with values typically used to model multiple-perforated grains",1.2,1600,850000,1.0e-3,0.8,3.47e-8,""
P-5 BPfl,"High Nitrogen Single Base,*-------- High Nitrated Pyroxylin, 2.2 - 4.1% Dimethacrylate (Bis-Triethylene Glycol) Phthalate, 1.4 - 3.2% Volatile, 1.0 - 2.0% Diphenyl Amine, 0.1 - 0.5% Potassium Sulphate, 0.05-0.15% Graphite.",1.23,1575,990000,1e-3,1.0,7.9e-10,""
M1,"Single Base,AMCP 706-150,ADA043778,*85.00% Nitrocellulose (13.15%N), 10.00% Dinitrotloluene,  5.00% Dibutylphthalate,  1.00% Diphenylamine",1.2593,1569,911700,1.104e-3,0.951,1.078e-9,2417
M2,"Double Base,AMCP 706-150,ADA043778,*77.45% Nitrocellulose (13.25%N),*19.50% Nitroglycerin,  1.40% Barium Nitrate,  0.75% Potassium Nitrate,  0.60% Ethyl Centralite,  0.30% Graphite",1.2238,1652,1076000,1.008e-3,0.933,3.540e-9,3319
M5,"Double Base,AMCP 706-150,ADA043778,*81.95% Nitrocellulose (13.25%N),*15.00% Nitroglycerin,  1.40% Barium Nitrate,  0.75% Potassium Nitrate,  0.60% Ethyl Centralite,  0.30% Graphite",1.2238,1650,1061000,9.942e-4,0.948,2.504e-9,3245
M6,"Single Base,AMCP 706-150,ADA043778,*87.00% Nitrocellulose (13.15%N), 10.00% Dinitrotoluene,  3.00% Dibutylphthalate,  1.00% Diphenylamine",1.2543,1581,947500,1.081e-3,0.949,1.272e-9,2570
M8,"Double Base,AMCP 706-150,ADA043778,*52.15% Nitrocellulose (13.25%N),*43.00% Nitroglycerin,  3.00% Diethylphthalate,  1.25% Potassium Nitrate,  0.60% Ethyl Centralite",1.2148,1620,1142000,9.621e-4,0.874,1.346e-8,3695
M10,"Single Base,AMCP 706-150,ADA043778,*98.00% Nitrocellulose (13.15%N),  1.00% Potassium Sulfate,  1.00% Diphenylamine, <0.10% Graphite",1.2342,1670,1013000,1.003e-3,0.921,2.562e-9,3000
M17,"Triple Base,AMCP 706-150,ADA043778,*54.70% Nitroguanidine,*22.00% Nitrocellulose (13.15%N),*21.50% Nitroglycerin,  1.50% Ethyl Centralite,  0.30% Cryolite,  0.10% Graphite",1.2402,1669,1088000,1.066e-3,0.836,1.477e-8,3017
